Nama,,Ibukota,,,Kecamatan,Kelurahan,Desa,Luas,Penduduk,Pengentri,Keterangan,http://www.kemendagri.go.id/media/documents/2015/02/25/l/a/lampiran_i.pdf
Aceh,,,,,,,,,,,14-Jun,
 KABUPATEN PASAMAN,,Lubuk Sikaping,,,12,,32,"3,947.63","311,984",IDA,,
 KABUPATEN KEPULAUAN MENTAWAI,,Tuapejat,,,10,,43,"6,011.35","80,521",IDA,,
 KABUPATEN DHARMASRAYA,,Pulau Punjung,,,11,,52,"2,961.13","201,328",IDA,,
 KABUPATEN SOLOK SELATAN,,Padang Aro,,,7,,39,"3,346.20","174,479",IDA,,
 KABUPATEN PASAMAN BARAT,,Simpang Empat,,,11,,19,"3,887.77","424,559",IDA,,
 KOTA PADANG,,Kototangah,,,11,104,,693.66,"872,271",IDA,,
 KOTA SOLOK,,Solok,,,2,13,,71.29,"63,672",IDA,,
 KOTA SAWAHLUNTO,,Sawahlunto,,,4,10,27,231.93,"61,427",IDA,,
 KOTA PADANG PANJANG,,Padang Panjang,,,2,16,,23,"50,317",IDA,,
 KOTA BUKITTINGGI,,Bukittinggi,,,3,24,,25.24,"113,326",IDA,,
 KOTA PAYAKUMBUH,,Payakumbuh,,,5,76,,85.22,"125,608",IDA,,
 KOTA PARIAMAN,,Pariaman,,,4,16,55,66.13,"85,485",IDA,,
,,,,,,,,,,,,
Riau,,,,,,,,,,,,
 KABUPATEN KAMPAR,,Bangkinang,,,21,8,242,"10,983.47","722,328",ELBERT,,
 KABUPATEN INDRAGIRI HULU,,Rengat,,,14,16,178,"7,723.80","416,313",ELBERT,,
 KABUPATEN BENGKALIS,,Bengkalis,,,8,19,136,"6,975.41","522,125",ELBERT,,
 KABUPATEN INDRAGIRI HILIR,,Tembilahan,,,20,39,198,"12,614.78","610,067",ELBERT,,
 KABUPATEN PELALAWAN,,Pangkalan Kerinci,,,12,14,104,"12,758.45","360,571",EKO,,
 KABUPATEN ROKAN HULU,,Pasir Pengarairan,,,16,6,139,"7,588.13","557,368",EKO,,
 KABUPATEN ROKAN HILIR,,Bagansiapiapi,,,15,25,159,"8,881.59","625,642",EKO,,
 KABUPATEN SIAK,,Siak Sriindrapura,,,14,9,122,"8,275.18","407,093",EKO,,
 KABUPATEN KUANTAN SINGINGI,,Teluk Kuantan,,,15,11,218,"5,259.36","322,843",EKO,,
 KABUPATEN KEPULAUAN MERANTI,,Tebing Tinggi,,,9,5,96,"3,707.84","203,703",EKO,,
 KOTA PEKANBARU,,Pekanbaru,,,12,58,,632.27,"855,221",IDA,,
 KOTA DUMAI,,Dumai,,,7,33,,"1,623.38","264,084",IDA,,
,,,,,,,,,,,,
Jambi,,,,,,,,,,,,
 KABUPATEN KERINCI,,Siulak,,,16,2,285,"3,355.27","231,819",IDA,,
 KABUPATEN MERANGIN,,Bangko,,,24,10,205,"7,679.00","329,077",IDA,,
 KABUPATEN SAROLANGUN,,Sarolangun,,,10,9,149,"6,184.00","309,621",IDA,,
 KABUPATEN BATANGHARI,,Muara Bulian,,,8,14,109,"5,804.00","305,114",IDA,,
 KABUPATEN MUARO JAMBI,,Sengeti,,,11,5,150,"5,326.00","352,497",IDA,,
 KABUPATEN TANJUNG JABUNG BARAT,,Kuala Tungkal,,,13,20,114,"4,649.85","317,604",IDA,,
 KABUPATEN TANJUNG JABUNG TIMUR,,Muara Sabak,,,11,20,73,"5,445.00","219,632",VIKTORY,,
 KABUPATEN BUNGO,,Muara Bungo,,,17,12,141,"4,659.00","313,748",VIKTORY,,
 KABUPATEN TEBO,,Muara Tebo,,,12,5,107,"6,461.00","323,554",VIKTORY,,
 KOTA JAMBI,,Jambi,,,8,62,,103.54,"602,187",VIKTORY,,
 KOTA SUNGAI PENUH,,Sungai Penuh,,,8,4,65,391.5,"101,325",VIKTORY,,
,,,,,,,,,,,,
Sumatera Selatan,,,,,,,,,,,,
 KABUPATEN OGAN KOMERING ULU,,Baturaja,,,12,14,143,"4,797.06","351,380",VIKTORY,,
 KABUPATEN OGAN KOMERING ILIR,,Kayu Agung,,,18,13,314,"18,359.04","715,345",VIKTORY,,
 KABUPATEN MUARA ENIM,,Muara Enim,,,20,10,245,"7,383.90","557,758",VIKTORY,,
 KABUPATEN LAHAT,,Lahat,,,22,18,360,"5,311.74","418,845",EKO,,
 KABUPATEN MUSI RAWAS,,Lubuk Linggau,,,14,13,186,"6,350.10","397,767",EKO,,
 KABUPATEN MUSI BANYUASIN,,Sekayu,,,14,13,227,"14,266.26","600,059",EKO,,
 KABUPATEN BANYUASIN,,Pangkalan Balai,,,19,16,288,"11,832.99","797,471",EKO,,
 KABUPATEN OGAN KOMERING ULU TIMU,,Martapura,,,20,7,305,"3,370.00","623,048",EKO,,
 KABUPATEN OGAN KOMERING ULU SELAT,,Muaradua,,,19,7,252,"5,493.94","405,714",VIKTORY,,
 KABUPATEN OGAN ILIR,,Indralaya,,,16,14,224,"2,666.09","428,148",VIKTORY,,
