Nama,,Ibukota,,,Kecamatan,Kelurahan,Desa,Luas,Penduduk,Pengentri,Keterangan,http://www.kemendagri.go.id/media/documents/2015/02/25/l/a/lampiran_i.pdf
Aceh,,,,,,,,,,,14-Jun,
 KABUPATEN DOMPU,,Dompu,,,8,9,72,"2,391.54","211,051",DIMAS,,
 KABUPATEN BIMA,,Woha,,,18,,191,"3,405.63","519,078",DIMAS,,
 KABUPATEN SUMBAWA BARAT,,Taliwang,,,8,7,57,"1,849.02","132,130",DIMAS,,
 KABUPATEN LOMBOK UTARA,,Tanjung,,,5,,33,776.25,"228,092",ELBERT,,
 KOTA MATARAM,,Mataram,,,6,50,,61.3,"408,900",ELBERT,,
 KOTA BIMA,,Bima,,,5,38,,222.25,"136,492",ELBERT,,
,,,,,,,,,,,,
Nusa Tenggara Timur,,,,,,,,,,,,
 KABUPATEN KUPANG,,Kupang,,,24,17,159,"5,434.76","395,009",EKO,,
 KAB TIMOR TENGAH SELATAN,,Soe,,,32,12,266,"3,947.00","459,959",EKO,,
 KABUPATEN TIMOR TENGAH UTARA,,Kafemananu,,,24,33,160,"2,669.70","247,812",EKO,,
 KABUPATEN BELU,,Atambua,,,12,12,69,"1,284.97","218,880",EKO,,
 KABUPATEN ALOR,,Kalabahi,,,17,17,158,"2,864.60","207,283",EKO,,
 KABUPATEN FLORES TIMUR,,Larantuka,,,19,21,229,"1,813.20","276,839",EKO,,
 KABUPATEN SIKKA,,Maumere,,,21,13,147,"1,731.90","311,568",EKO,,
 KABUPATEN ENDE,,Ende,,,21,23,255,"2,046.50","264,618",EKO,,
 KABUPATEN NGADA,,Bajawa,,,12,16,135,"1,645.88","162,721",EKO,,
 KABUPATEN MANGGARAI,,Ruteng,,,11,17,145,"2,096.44","315,530",IDA,,
 KABUPATEN SUMBA TIMUR,,Waingapu,,,22,16,140,"7,000.50","232,951",IDA,,
 KABUPATEN SUMBA BARAT,,Waikabubak,,,6,11,63,"2,183.18","141,698",IDA,,
 KABUPATEN LEMBATA,,Lewoleba,,,9,7,144,"1,266.00","131,083",IDA,,
 KABUPATEN ROTE NDAO,,Baa,,,10,7,82,"1,280.00","138,557",IDA,,
 KABUPATEN MANGGARAI BARAT,,Labuan Bajo,,,10,5,164,"2,397.03","253,319",IDA,,
 KABUPATEN NAGEKEO,,Mbay,,,7,16,97,"1,416.96","156,559",IDA,,
 KABUPATEN SUMBA TENGAH,,Waibakul,,,5,,65,"1,868.74","82,158",IDA,,
 KABUPATEN SUMBA BARAT DAYA,,Tambolaka,,,11,2,129,"1,480.46","300,671",IDA,,
 KABUPATEN MANGGARAI TIMUR,,Borong,,,9,17,159,"2,642.93","249,218",IDA,,
 KABUPATEN SABU RAIJUA,,Sabu Barat,,,6,5,57,460.54,"91,194",IDA,,
 KABUPATEN MALAKA,,Malaka Tengah,,,12,,127,"1,160.63","186,998",IDA,,
 KOTA KUPANG,,Kupang,,,6,51,,26.18,"433,970",IDA,,
,,,,,,,,,,,,
Kalimantan Barat,,,,,,,,,,,,
 KABUPATEN SAMBAS,,Sambas,,,19,,193,6717,"626,554",,,
 KABUPATEN MEMPAWAH,,Mempawah,,,9,7,60,2798,"298,284",,,
 KABUPATEN SANGGAU,,Sanggau,,,15,6,163,12858,"477,430",,,
 KABUPATEN KETAPANG,,Ketapang,,,20,9,240,31241,"573,607",,,
 KABUPATEN SINTANG,,Sintang,,,14,6,281,21638,"398,283",,,
 KABUPATEN KAPUAS HULU,,Putussibau,,,23,4,278,29842,"234,029",,,
 KABUPATEN BENGKAYANG,,Bengkayang,,,17,2,122,5075,"280,168",,,
 KABUPATEN LANDAK,,Ngabang,,,13,,156,8915,"391,767",,,
 KABUPATEN SEKADAU,,Sekadau,,,7,,87,5444,"205,812",,,
 KABUPATEN MELAWI,,Nanga Pinoh,,,11,,169,10641,"226,140",,,
 KABUPATEN KAYONG UTARA,,Sukadane,,,6,,43,4568,"120,358",,,
 KABUPATEN KUBU RAYA,,Sungai Raya,,,9,,116,6958,"596,421",,,
 KOTA PONTIANAK,,Pontianak,,,6,29,,108,"651,139",,,
 KOTA SINGKAWANG,,Singkawang,,,5,26,,504,"230,216",,,
,,,,,,,,,,,,
Kalimantan Tengah,,,,,,,,,,,,
 KABUPATEN KOTAWARINGIN BARAT,,Pangkalan Bun,,,6,13,81,10759,"241,038",,,
 KABUPATEN KOTAWARINGIN TIMUR,,Sampit,,,17,17,168,16796,"403,466",,,
 KABUPATEN KAPUAS,,Kuala Kapuas,,,17,17,214,14999,"405,453",,,
 KABUPATEN BARITO SELATAN,,Buntok,,,6,7,86,8830,"121,557",,,
 KABUPATEN BARITO UTARA,,Muara Teweh,,,9,10,93,8300,"150,121",,,
 KABUPATEN KATINGAN,,Kasongan,,,13,7,154,17500,"144,262",,,
 KABUPATEN SERUYAN,,Kuala Pembuang,,,10,3,97,16404,"141,334",,,
 KABUPATEN SUKAMARA,,Sukamara,,,5,3,29,3827,"50,257",,,
 KABUPATEN LAMANDAU,,Nanga Bulik,,,8,3,85,6414,"70,003",,,
 KABUPATEN GUNUNG MAS,,Kuala Kurun,,,12,12,115,10805,"135,872",,,
 KABUPATEN PULANG PISAU,,Pulang Pisau,,,8,4,95,8997,"122,143",,,
 KABUPATEN MURUNG RAYA,,Puruk Cahu,,,10,9,116,23700,"103,098",,,
 KABUPATEN BARITO TIMUR,,Tamiang Layang,,,10,3,101,3834,"108,011",,,
 KOTA PALANGKARAYA,,Palangkaraya,,,5,30,,2400,"249,429",,,
,,,,,,,,,,,,
PROVINSI KALIMANTAN SELATAN,,,,,,,,,,,,
 KABUPATEN TANAH LAUT,,Pelaihari,,,11,5,130,3631,"335,677",,,
 KABUPATEN KOTABARU,,Kotabaru,,,21,4,198,9483,"314,598",,,
 KABUPATEN BANJAR,,Martapura,,,19,13,277,4668,"531,708",,,
 KABUPATEN BARITO KUALA,,Marabahan,,,17,6,195,2996,"303,193",,,
 KABUPATEN TAPIN,,Rantau,,,12,9,126,2701,"170,826",,,
 KABUPATEN HULU SUNGAI SELATAN,,Kandangan,,,11,4,144,1805,"205,830",,,
 KABUPATEN HULU SUNGAI TENGAH,,Berabai,,,11,8,161,1472,"246,222",,,
 KABUPATEN HULU SUNGAI UTARA,,Amuntai,,,10,5,212,893,"216,466",,,
 KABUPATEN TABALONG,,Tanjung,,,12,9,122,3767,"230,847",,,
 KABUPATEN TANAH BUMBU,,Batulicin,,,10,5,145,5007,"305,633",,,
 KABUPATEN BALANGAN,,Paringin,,,8,3,154,1878,"121,429",,,
 KOTA BANJARMASIN,,Banjarmasin,,,5,52,,72,"635,688",,,
 KOTA BANJARBARU,,Banjarbaru,,,5,20,,371,"216,600",,,
,,,,,,,,,,,,
PROVINSI KALIMANTAN TIMUR,,,,,,,,,,,,
 KABUPATEN PASER,,Tana Paser,,,10,5,139,7731,"240,043",,,
 KABUPATEN KUTAI KARTANEGARA,,Tenggarong,,,18,44,193,23602,"651,816",,,
 KABUPATEN BERAU,,Tanjung Redeb,,,13,10,97,21240,"207,515",,,
 KABUPATEN KUTAI BARAT,,Sendawar,,,16,4,190,20382,"155,997",,,
 KABUPATEN KUTAI TIMUR,,Sanggatta,,,18,1,134,35748,"412,459",,,
 KABUPATEN PENAJAM PASER UTARA,,Penajam,,,4,24,30,3333,"156,413",,,
 KABUPATEN MAHAKAM ULU,,Long Bagun,,,5,,50,15315,"24,341",,,
 KOTA BALIKPAPAN,,Balikpapan,,,6,34,,527,"597,625",,,
 KOTA SAMARINDA,,Samarinda,,,10,59,,783,"752,845",,,
 KOTA BONTANG,,Bontang,,,3,15,,407,"161,356",,,
,,,,,,,,,,,,
PROVINSI KALIMANTAN UTARA,,,,,,,,,,,,
 KABUPATEN BULUNGAN,,Tanjung Selor,,,10,7,74,13926,"125,781",,,
 KABUPATEN MALINAU,,Malinau,,,15,,109,42621,"71,351",,,
 KABUPATEN NUNUKAN,,Nunukan,,,16,8,232,13842,"168,412",,,
 KABUPATEN TANA TIDUNG,,Tideng Pale,,,5,,32,4829,"20,828",,,
 KOTA TARAKAN,,Tarakan,,,4,20,,250.8,"198,133",,,
,,,,,,,,,,,,
Sulawesi Utara,,,,,,,,,,,,
 KABUPATEN BOLAANG MONGONDOW,,Lolak,,,15,2,200,"2,871.65","242,678",ANDRI,,
 KABUPATEN MINAHASA,,Tondano,,,25,43,227,"1,114.87","331,647",ANDRI,,
 KABUPATEN KEPULAUAN SANGIHE,,Tahuna,,,15,22,145,461.11,"140,420",ANDRI,,
 KABUPATEN KEPULAUAN TALAUD,,Melongguane,,,19,11,142,"1,240.40","98,508",ANDRI,,
 KABUPATEN MINAHASA SELATAN,,Amurang,,,17,10,152,"1,409.97","230,436",ANDRI,,
 KABUPATEN MINAHASA UTARA,,Air Madidi,,,10,6,126,918.49,"215,285",IDA,,
 KABUPATEN MINAHASA TENGGARA,,Ratahan,,,12,9,135,710.83,"115,834",IDA,,
 KABUPATEN BOLAANG MONGONDOW UT,,Boroko,,,6,1,106,"1,680.00","83,706",IDA,,
 KABUPATEN kepulauan SIAU TAGULANDANG B,,Ondong Siau,,,10,10,83,275.86,"70,487",IDA,,
 KABUPATEN BOLAANG MONGONDOW TI,,Tutuyan,,,5,,81,910.18,"81,973",IDA,,
 KABUPATEN BOLAANG MONGONDOW SE,,Bolaang Uki,,,5,,81,"1,615.86","64,801",IDA,,
 KOTA MANADO,,Manado,,,11,87,,157.27,"461,636",IDA,,
 KOTA BITUNG,,Bitung,,,8,69,,302.89,"218,520",IDA,,
 KOTA TOMOHON,,Tomohon,,,5,44,,114.2,"96,411",IDA,,
 KOTA KOTAMOBAGU,,Kotamobagu,,,4,18,12,68.06,"120,597",IDA,,
,,,,,,,,,,,,
Sulawesi Tengah,,,,,,,,,,,,
 KABUPATEN BANGGAI,,Luwuk,,,23,46,291,"9,672.70","355,415",DITA / ANDRI,,
 KABUPATEN POSO,,Poso,,,19,23,143,"7,112.25","238,400",ANDRI,,
 KABUPATEN DONGGALA,,Donggala,,,16,9,158,"4,275.08","288,686",ANDRI,,
 KABUPATEN TOLI TOLI,,Toli Toli,,,10,5,99,"4,079.77","208,489",ANDRI,,
 KABUPATEN BUOL,,Buol,,,11,7,108,"4,043.57","122,551",ANDRI,,
 KABUPATEN MOROWALI,,Bungku,,,9,7,126,"3,037.04","119,607",EKO2,,
 KABUPATEN BANGGAI KEPULAUAN,,Salakan,,,12,3,141,"2,488.79","111,412",EKO2,,
 KABUPATEN PARIGI MOUTONG,,Parigi,,,23,5,278,"5,089.91","439,799",EKO2,,
 KABUPATEN TOJO UNA UNA,,Ampana,,,12,12,134,"5,721.15","150,464",EKO2,,
 KABUPATEN SIGI,,Sigi Biromaru,,,15,,176,"5,196.02","241,173",EKO2,,
 KABUPATEN BANGGAI LAUT,,Banggai,,,7,3,63,725.67,"66,020",ELBERT,,
 KABUPATEN MOROWALI UTARA,,Petasia,,,9,3,122,"10,004.28","107,452",ELBERT,,
 KOTA PALU,,Palu,,,8,45,,395.06,"359,350",ELBERT,,
,,,,,,,,,,,,
Sulawesi Selatan,,,,,,,,,,,,
 KABUPATEN KEPULAUAN SELAYAR,,Benteng,,,11,7,81,"1,357.03","133,529",BONA,,
 KABUPATEN BULUKUMBA,,Bulukumba,,,10,27,109,"1,284.63","434,731",BONA,,
 KABUPATEN BANTAENG,,Bantaeng,,,8,21,46,395.83,"192,568",BONA,,
 KABUPATEN JENEPONTO,,Jeneponto,,,11,31,82,706.52,"405,493",BONA,,
 KABUPATEN TAKALAR,,Takalar,,,9,24,76,566.61,"281,020",BONA,,
 KABUPATEN GOWA,,Sunggu Minahasa,,,18,45,122,"1,883.32","746,735",BONA,,
 KABUPATEN SINJAI,,Sinjai,,,9,13,67,798.96,"255,535",DITA2,,
 KABUPATEN BONE,,Watampone,,,27,44,328,"4,559.00","858,933",DITA2,,
 KABUPATEN MAROS,,Maros,,,14,23,80,"1,619.12","395,081",DITA2,,
 KABUPATEN PANGKAJENE KEPULAUAN,,Pangkep,,,13,38,65,"1,132.08","358,042",DITA2,,
 KABUPATEN BARRU,,Barru,,,7,15,40,"1,174.71","168,746",DITA2,,
 KABUPATEN SOPPENG,,Watan Soppeng,,,8,21,49,"1,557.00","251,519",DITA2,,
 KABUPATEN WAJO,,Sengkang,,,14,48,142,"2,504.06","475,610",DITA2,,
 KABUPATEN SIDENRENG RAPPANG,,Sidenreng,,,11,38,68,"1,883.23","317,691",DITA2,,
 KABUPATEN PINRANG,,Pinrang,,,12,39,69,"1,961.67","407,057",ELBERT2,,
 KABUPATEN ENREKANG,,Enrekang,,,12,17,112,"1,784.93","236,850",ELBERT2,,
 KABUPATEN LUWU,,Belopa,,,22,20,207,"3,343.97","370,954",ELBERT2,,
 KABUPATEN TANA TORAJA,,Makale,,,19,47,113,"1,990.22","279,292",ELBERT2,LEMBANG,https://www.wikidata.org/wiki/Q12494403
 KABUPATEN LUWU UTARA,,Masamba,,,12,7,166,"7,502.58","352,845",ELBERT2,,
 KABUPATEN LUWU TIMUR,,Malili,,,11,3,124,"6,944.88","290,727",ELBERT2,,
 KABUPATEN TORAJA UTARA,,Rantepao,,,21,44,107,"1,215.55","233,894",ELBERT2,LEMBANG,https://www.wikidata.org/wiki/Q12494403
 KOTA MAKASSAR,,Makassar,,,14,143,,199.26,"1,651,146",EKO2,,
 KOTA PARE PARE,,Pare Pare,,,4,22,,99.33,"175,040",EKO2,,
 KOTA PALOPO,,Palopo,,,9,48,,252.99,"180,130",EKO2,,
,,,,,,,,,,,,
Sulawesi Tenggara,,,,,,,,,,,,
 KABUPATEN KOLAKA,,Kolaka,,,12,35,100,"3,283.59","204,044",,,
 KABUPATEN KONAWE,,Unaaha,,,23,57,241,"4,435.28","249,920",,,
 KABUPATEN MUNA,,Raha,,,22,26,125,"1,922.16","223,982",,,
 KABUPATEN BUTON,,Pasar Wajo,,,7,12,83,"1,212.99","113,450",,,
 KABUPATEN KONAWE SELATAN,,Andoolo,,,22,15,341,"5,779.47","302,989",,,
 KABUPATEN BOMBANA,,Rumbia,,,22,22,117,"3,001.00","133,553",,,
 KABUPATEN WAKATOBI,,Wangi Wangi,,,8,26,76,559.54,"107,898",,,
 KABUPATEN KOLAKA UTARA,,Lasusua,,,15,6,127,"3,391.67","131,623",,,
 KABUPATEN KONAWE UTARA,,Wanggudu,,,10,11,135,"5,101.76","65,116",,,
 KABUPATEN BUTON UTARA,,Buranga,,,6,12,78,"1,864.91","58,753",,,
 KABUPATEN KOLAKA TIMUR,,Tirawuta,,,12,16,117,"3,634.74","103,856",,,
 KABUPATEN KONAWE KEPULAUAN,,Wawonii Barat,,,7,7,72,867.58,"33,429",,,
 KABUPATEN MUNA BARAT,,Sawerigadi,,,11,5,81,"1,022.89","78,233",,,
 KABUPATEN BUTON TENGAH,,Lakudo,,,7,10,67,958.31,"112,045",,,
 KABUPATEN BUTON SELATAN,,Batauga,,,7,10,60,509.92,"92,664",,,
 KOTA KENDARI,,Kendari,,,10,64,,300.89,"331,013",,,
 KOTA BAU BAU,,Bau Bau,,,8,43,,221,"152,143",,,
,,,,,,,,,,,,
Gorontalo,,,,,,,,,,,,
 KABUPATEN GORONTALO,,Gorontalo,,,19,14,191,"1,750.83","387,079",,,
 KABUPATEN BOALEMO,,Tilamuta,,,7,,82,"1,521.88","141,796",,,
 KABUPATEN BONE BOLANGO,,Suwawa,,,18,5,160,"1,984.31","157,215",,,
 KABUPATEN PAHUWATO,,Marisa,,,13,3,101,"4,244.31","136,448",,,
 KABUPATEN GORONTALO UTARA,,Kwandang,,,11,,123,"1,676.15","122,124",,,
 KOTA GORONTALO,,Gorontalo,,,9,50,,79.59,"191,897",,,
,,,,,,,,,,,,
Sulawesi Barat,,,,,,,,,,,,
 KABUPATEN MAMUJU UTARA,,Pasangkayu,,,12,4,59,"3,043.75","205,774",,,
 KABUPATEN MAMUJU,,Mamuju,,,11,11,89,"4,999.69","290,672",,,
 KABUPATEN MAMASA,,Mamasa,,,17,13,168,"3,005.88","200,977",,,
 KABUPATEN POLEWALI MANDAR,,Polewali,,,16,23,144,"1,775.65","513,180",,,
 KABUPATEN MAJENE,,Majene,,,8,20,62,947.84,"164,107",,,
 KABUPATEN MAMUJU TENGAH,,Tobadak,,,5,,54,"3,014.37","143,590",,,
,,,,,,,,,,,,
Maluku,,,,,,,,,,,,
 KABUPATEN MALUKU TENGAH,,Masohi,,,18,6,186,"7,953.81","418,510",ELBERT,,
 KABUPATEN MALUKU TENGGARA,,Langgur,,,11,1,190,"1,031.81","119,289",ELBERT,,
 KAB MALUKU TENGGARA BARAT,,Saumlaki,,,10,1,80,"4,465.79","119,517",ELBERT,,
 KABUPATEN BURU,,Namlea,,,10,,82,"4,932.32","128,720",ELBERT,,
 KABUPATEN SERAM BAGIAN TIMUR,,Dataran Hunimoa,,,15,,192,"6,429.88","125,684",EKO,,
 KABUPATEN SERAM BAGIAN BARAT,,Dataran Hunipopu,,,11,,92,"5,033.38","203,221",EKO,,
 KABUPATEN KEPULAUAN ARU,,Dobo,,,10,2,117,"8,152.42","100,766",EKO,,
 KABUPATEN MALUKU BARAT DAYA,,Tiakur,,,17,,117,"4,581.06","57,723",EKO,,
 KABUPATEN BURU SELATAN,,Namrole,,,6,,79,"3,780.56","71,409",ELBERT2,,
 KOTA AMBON,,Ambon,,,5,20,30,298.61,"372,249",ELBERT2,,
 KOTA TUAL,,Tual,,,5,3,26,254.39,"82,955",ELBERT2,,
,,,,,,,,,,,,
Maluku Utara,,,,,,,,,,,,
 KABUPATEN HALMAHERA BARAT,,Ternate,,,8,,170,"1,704.20","130,137",IDA,,
 KABUPATEN HALMAHERA TENGAH,,Weda,,,8,,61,"2,653.76","48,666",IDA,,
 KABUPATEN HALMAHERA UTARA,,Tobelo,,,17,,196,"3,896.90","186,299",IDA,,
 KABUPATEN HALMAHERA SELATAN,,Labuha,,,30,,248,"8,148.90","242,352",IDA,,
 KABUPATEN KEPULAUAN SULA,,Sanana,,,12,,78,"3,304.32","122,726",IDA,,
 KABUPATEN HALMAHERA TIMUR,,Maba,,,10,,102,"6,571.37","76,353",IDA,,
 KABUPATEN PULAU MOROTAI,,Morotai Selatan,,,5,,88,"2,476.00","63,033",ELBERT2,,
 KABUPATEN PULAU TALIABU,,Taliabu Barat,,,8,,71,"1,469.93","61,376",ELBERT2,,
 KOTA TERNATE,,Ternate,,,7,77,,111.39,"213,274",ELBERT2,,
 KOTA TIDORE KEPULAUAN,,Kota Tidore Kepula,,,8,40,49,"1,645.73","103,171",ELBERT2,,
,,,,,,,,,,,,
Papua,,,,,,,,,,,,
 KABUPATEN MERAUKE,,Merauke,,,20,11,181,"44,071.00","219,438",NISA,,
 KABUPATEN JAYAWIJAYA,,Wamena,,,40,4,328,"7,030.66","262,909",NISA,,
 KABUPATEN JAYAPURA,,Jayapura,,,19,5,139,"11,157.15","162,199",NISA,,
 KABUPATEN NABIRE,,Nabire,,,15,9,72,"11,112.61","163,390",NISA,,
 KABUPATEN KEPULAUAN YAPEN,,Serui,,,14,5,160,"2,050.00","106,827",NISA,,
 KABUPATEN BIAK NUMFOR,,Biak,,,19,14,254,"2,602.00","138,401",NISA,,
 KABUPATEN PUNCAK JAYA,,Kota Mulia,,,26,,302,"4,989.51","205,302",FAJRIN,,
 KABUPATEN PANIAI,,Enarotali,,,10,5,77,"6,525.25","109,436",FAJRIN,,
 KABUPATEN MIMIKA,,Timika,,,18,19,133,"21,633.00","303,376",FAJRIN,,
 KABUPATEN SARMI,,Sarmi,,,10,2,92,"17,742.00","35,543",FAJRIN,,
 KABUPATEN KEEROM,,Waris,,,7,,91,"8,390.00","57,736",FAJRIN,,
 KAB PEGUNUNGAN BINTANG,,Oksibil,,,34,,277,"15,682.00","103,467",FAJRIN,,
 KABUPATEN YAHUKIMO,,Sumohai,,,51,1,510,"17,152.00","309,807",EKO2,,
 KABUPATEN TOLIKARA,,Karubaga,,,46,4,541,"5,588.13","226,524",EKO2,,
 KABUPATEN WAROPEN,,Botawa,,,11,,100,"10,977.09","31,400",EKO2,,
 KABUPATEN BOVEN DIGOEL,,Tanah Merah,,,20,,112,"27,108.00","52,527",DIMAS,,
 KABUPATEN MAPPI,,Kepi,,,15,2,162,"24,118.00","100,182",DIMAS,,
 KABUPATEN ASMAT,,Agats,,,19,,221,"31,983.69","101,086",DIMAS,,
 KABUPATEN SUPIORI,,Sorendiweri,,,5,,38,678.32,"20,112",DIMAS,,
 KABUPATEN MAMBERAMO RAYA,,Burmeso,,,8,,69,"23,813.91","33,272",DIMAS,,
 KABUPATEN MAMBERAMO TENGAH,,Kobakma,,,5,,59,"1,275.00","43,209",DIMAS,,
 KABUPATEN YALIMO,,Elelim,,,5,,299,"1,253.00","82,476",DIMAS,,
 KABUPATEN LANNY JAYA,,Tiom,,,39,1,354,"2,248.00","109,763",DIMAS,,
 KABUPATEN NDUGA,,Kenyam,,,32,,248,"2,168.00","103,373",DIMAS,,
 KABUPATEN PUNCAK,,Ilaga,,,8,,80,"8,055.00","148,823",DIMAS,,
 KABUPATEN DOGIYAI,,Kigamani,,,10,,79,"4,237.40","109,961",,,
 KABUPATEN INTAN JAYA,,Sugapa,,,8,,97,"3,922.02","88,463",,,
 KABUPATEN DEIYAI,,Tigi,,,5,,30,537.39,"46,109",,,
 KOTA JAYAPURA,,Jayapura,,,5,25,13,935.92,"413,283",,,
,,,,,,,,,,,,
Papua Barat,,,,,,,,,,,,
 KABUPATEN SORONG,,Sorong,,,17,18,115,"6,544.23","120,956",FAJRIN,,
 KABUPATEN MANOKWARI,,Manokwari,,,9,9,165,"3,186.28","190,337",FAJRIN,,
 KABUPATEN FAK FAK,,Fak Fak,,,17,7,142,"11,036","83,072",FAJRIN,,
 KABUPATEN SORONG SELATAN,,Teminabuan,,,13,2,121,"6,594","58,717",FAJRIN,,
 KABUPATEN RAJA AMPAT,,Waisai,,,24,4,117,"8,034","61,582",FAJRIN,,
 KABUPATEN TELUK BINTUNI,,Bintuni,,,24,2,115,"20,841","75,410",FAJRIN,,
 KABUPATEN TELUK WONDAMA,,Rasiei,,,13,1,76,"3,960","39,879",FAJRIN,,
 KABUPATEN KAIMANA,,Kaimana,,,7,2,84,"16,242","60,082",EKO2,,
 KABUPATEN TAMBRAUW,,Fef,,,29,,211,"11,529","20,212",EKO2,,
 KABUPATEN MAYBRAT,,Aifat,,,24,1,259,"5,462","22,156",ELBERT2,,
 KABUPATEN MANOKWARI SELATAN,,Ransiki,,,6,,57,"2,812","28,933",ELBERT2,,
 KABUPATEN PEGUNUNGAN ARFAK,,Anggi,,,10,,166,"2,774","35,813",ELBERT2,,
 KOTA SORONG,,Sorong,,,10,41,,657,"272,349",ELBERT2,,
